23:40:57.474 DEBUG [a.event.EventStream] [EventStream] - shutting down: StandardOutLogger started
23:42:08.528 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Kreis.osm
23:42:08.591 INFO  [d.f.a.osm.OsmMap] [] - Initializing
23:42:08.591 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
23:42:08.622 INFO  [d.f.a.osm.OsmMap] [] - 230 nodes parsed in 16 milliseconds
23:42:08.622 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
23:42:08.638 WARN  [d.f.a.osm.OsmWay] [] - Way 33891761: unknown max speed "5 mph"
23:42:08.638 WARN  [d.f.a.osm.OsmWay] [] - Way 33891763: unknown max speed "5 mph"
23:42:08.653 INFO  [d.f.a.osm.OsmMap] [] - 71 ways parsed in 31 milliseconds
23:42:08.653 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
23:42:08.669 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 230 elements computed, took 16 ms
23:42:08.669 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
23:42:08.669 INFO  [d.f.a.antnet.AntMap] [] - Preparing
23:42:08.669 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
23:42:08.684 INFO  [d.f.a.antnet.AntMap] [] - 16 ant ways data computed, took 15 ms
23:42:08.684 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
23:42:08.684 INFO  [d.f.a.antnet.AntMap] [] - 14 nodes computed
23:42:08.684 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
23:42:08.684 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
23:42:08.684 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
23:42:08.716 INFO  [d.f.a.antnet.AntMap] [] - Ant ways computed
23:42:08.716 INFO  [d.f.a.antnet.AntMap] [] - Computing incoming and outgoing ways
23:42:08.716 INFO  [d.f.a.antnet.AntMap] [] - Incoming and outgoing ways computed
23:42:08.716 INFO  [d.f.a.antnet.AntMap] [] - Computing sources and destinations
23:42:08.716 INFO  [d.f.a.antnet.AntMap] [] - 12 sources and 12 destinations computed, took 0 ms
23:42:08.716 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Initialized
23:42:09.092 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
23:42:09.108 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
